"feature","frequency","rank","docfreq","group"
"lord",9912,1,38,"all"
"time",8516,2,44,"all"
"day",8420,3,44,"all"
"hand",7490,4,44,"all"
"god",6187,5,40,"all"
"hear",5704,6,43,"all"
"house",5367,7,44,"all"
"people",4855,8,44,"all"
"leave",4852,9,45,"all"
"king",4819,10,34,"all"
"son",4609,11,40,"all"
"child",4279,12,44,"all"
"head",4029,13,45,"all"
"bring",3982,14,44,"all"
"life",3843,15,44,"all"
"land",3667,16,41,"all"
"father",3659,17,43,"all"
"eyes",3511,18,42,"all"
"night",3481,19,42,"all"
"woman",3454,20,41,"all"
